id,InOr,aC,aO,aF,sC,sO,sF,O,C,F,FC,FO,OC,LLCE
20-1-1,1.0092485316253854,0.0,0.0,0.037895004055581834,0.2686318476913953,0.2269054597655094,0.0,0.2269054597655094,0.2686318476913953,0.037895004055581834,0.14106668431628283,0.16700789877309966,0.8446707332563888,0.6334687161563538
20-1-2,1.0275424150261248,0.0,0.003615110725756306,0.037715070751670174,0.26699452889049097,0.22552713950360723,0.0,0.22914225022936352,0.26699452889049097,0.037715070751670174,0.14125784115650994,0.16459239059544314,0.8582282610118475,0.49136121611060535
20-1-3,1.209390065568199,0.017097507733583914,0.03419501546716783,0.02358897587551741,0.24266388163185276,0.24266388163185276,0.0,0.27685889709902056,0.2597613893654367,0.02358897587551741,0.09081016979906911,0.08520215937680574,1.0658200503752726,1.0128389184569544
20-1-4,3.6637442198361363,0.0,0.17010555516622428,0.08505277758311214,0.1436840280211098,0.1436840280211098,0.0,0.3137895831873341,0.1436840280211098,0.08505277758311214,0.5919431599635858,0.2710503539320334,2.1838863199271716,-0.0
20-1-5,0.8628572612887029,0.011617687330096804,0.023235374660193608,0.03485306199029041,0.23702190391266081,0.13902550910203915,0.0,0.16226088376223274,0.2486395912427576,0.03485306199029041,0.14017502931084638,0.21479645113582627,0.6525947173224332,-0.0
20-1-6,1.3187105664593033,0.0,0.07411307476654513,0.03705653738327257,0.2036793282709093,0.10183966413545464,0.0,0.17595273890199978,0.2036793282709093,0.03705653738327257,0.18193568143540076,0.2106050614188615,0.8638713628708015,0.2787534272350709
20-1-7,0.8985746513365432,0.0,0.0,0.0372389367753382,0.292414795169092,0.21931109637681898,0.0,0.21931109637681898,0.292414795169092,0.0372389367753382,0.1273497011456085,0.16979960152747806,0.7499999999999999,-0.0
20-1-8,0.9374761139405686,0.0,0.0,0.03221396439739506,0.2658344372608143,0.21163047673121854,0.0,0.21163047673121854,0.2658344372608143,0.03221396439739506,0.1211805540671521,0.15221798341601067,0.7960988008622246,0.5682021583616941
20-1-9,1.4402920401555923,0.008107060993032662,0.02766483587710677,0.0,0.20411587786556784,0.2721545038207571,0.0,0.2998193396978639,0.2122229388586005,0.0,0.0,0.0,1.4127565159090882,-0.0
20-1-10,1.211799460135579,0.01717048254237805,0.0343409650847561,0.02342064322851017,0.2430130452495993,0.2430130452495993,0.0008465927169690546,0.2773540103343554,0.26018352779197734,0.024267235945479224,0.09326968602286549,0.08749552932811254,1.0659937340695382,0.3979400086720376
20-1-11,1.2165992423013179,0.017213435366073445,0.03442687073214689,0.023508835678734418,0.2414022130009316,0.2414022130009316,0.0,0.27582908373307846,0.258615648367005,0.023508835678734418,0.09090260325381667,0.08522972037816022,1.0665599141999544,0.49136121611060535
20-1-12,1.2237057739464448,0.01724351171025162,0.03649218182771556,0.02360042940106724,0.2417157430051796,0.2417157430051796,0.0,0.27820792483289514,0.2589592547154312,0.02360042940106724,0.09113568629552019,0.08483018381033818,1.07433088320638,0.8450984743089558
20-1-13,1.2106344979052928,0.017305754776956693,0.034611509553913386,0.02364194364601277,0.2425341619727228,0.2425341619727228,0.0,0.27714567152663616,0.2598399167496795,0.02364194364601277,0.09098657335542705,0.08530511595502428,1.0666016022227578,0.49136121611060535
20-1-14,1.2256311614606479,0.018311583999311525,0.03662316799862305,0.02516067928435346,0.23911078675309788,0.23911078675309788,0.0,0.2757339547517209,0.2574223707524094,0.02516067928435346,0.09774084206750303,0.09124984011130906,1.0711343926551111,0.44715785762446125
20-1-15,1.0348167811616262,0.0012347252399663284,0.0024694504799326568,0.041259581530802655,0.2659642361523739,0.22466161498524903,0.0,0.2271310654651817,0.26719896139234023,0.041259581530802655,0.1544152017500523,0.18165538670943093,0.8500447167969151,0.6334687161563538
20-1-16,1.0285525085367007,0.004175394767802385,0.00835078953560477,0.037347537216101255,0.26469789773695984,0.2235835345046217,0.0,0.23193432404022649,0.2688732925047622,0.037347537216101255,0.13890385641571212,0.16102634817269967,0.8626157022870485,0.49136121611060535
20-1-18,0.9786701169730841,0.0,0.0,0.03665057577421842,0.2742395178386776,0.2256310159318993,0.0,0.2256310159318993,0.2742395178386776,0.03665057577421842,0.1336443998409385,0.16243589394323527,0.8227516504919891,-0.0
20-1-21,1.2366183548968013,0.01717201294946807,0.038339693554390625,0.023531080467392468,0.2409177253161,0.2409177253161,0.0,0.2792574188704906,0.2580897382655681,0.023531080467392468,0.09117402584669816,0.08426304505201104,1.0820167463734707,1.1702589359191677
20-1-22,1.042106258472625,0.007077601521749969,0.014155203043499938,0.0369964911589231,0.2619606653405982,0.22127928522320015,0.0,0.23543448826670008,0.26903826686234816,0.0369964911589231,0.13751386221147543,0.15714134080905554,0.8750966582280235,0.716002648764184
20-1-23,1.0281532529857993,0.0,0.003000110162464846,0.03774087879252122,0.2672731472383481,0.22576654690681058,0.0,0.22876665706927543,0.2672731472383481,0.03774087879252122,0.14120714775309906,0.1649754351268615,0.8559283243866864,0.6334687161563538
20-1-24,1.1065059248589635,0.008488931326590978,0.016977862653181956,0.030893198267900462,0.2558120514441592,0.23459480094114615,0.0,0.2515726635943281,0.26430098277075015,0.030893198267900462,0.11688642979695864,0.12280029883420518,0.9518415745450998,0.6020599913279624
20-1-25,1.0554267064793332,0.004067208957895554,0.008134417915791108,0.03457645883322385,0.26250266376769593,0.2305578424401401,0.0,0.23869226035593122,0.26656987272559146,0.03457645883322385,0.12970880197259596,0.14485789686546352,0.8954209938106636,0.6627584396942743
