electrolyte_id,generation_method,total_mass,"1,2-dimethoxyethane","1,3-dioxolane",Aluminium Oxide,C1,C2,C3,CsNO3,DEC,diglyme,DMC,DTO,E1,EC,EMC,FEC,L1,Li2S,LiAlO2,LiBF4,LiBOB,LiFSI,LiNO3,LiPF6,LiPO2F2,LiTDI,LiTf,LiTFSI,Lithium Perchlorate,Montmorillonite,PC,PS,S1,S2,S3,SN,Sulfolane,TTE,VC,TMSPi,P2O5,LiDFOB,TFEO,BTFEC,BTFE,AN,LCE
20-1-22,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28559999999999997,0.0,0.15660000000000002,0.0,0.0,0.3868,0.0,0.0,0.0,0.0,0.0,0.0,0.040799999999999996,0.0,0.0,0.11140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.807692
20-1-23,0.0,5.016,0.0,0.0,0.0,0.0,0.0,0.0,0.023125996810207338,0.29086921850079744,0.0,0.1594896331738437,0.0,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11343700159489632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019138755980861243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767442
20-1-24,0.0,5.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468970934799686,0.0,0.32914375490966225,0.0,0.0,0.366064414768264,0.0,0.0,0.0,0.0,0.0,0.0,0.027690494893951294,0.0,0.0,0.05950510604870385,0.0,0.0,0.0,0.06087981146897094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009622937941869601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
20-1-25,0.0,5.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247015071442552,0.0,0.24349187707966333,0.0,0.0,0.38520258367586613,0.0,0.0,0.0,0.0,0.0,0.0,0.013505578391074576,0.0,0.0,0.08866705813270699,0.0,0.0,0.0,0.02955568604423566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014875709532198082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782609
20-1-28,0.0,5.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676616915422885,0.0,0.1964179104477612,0.0,0.0,0.395820895522388,0.0,0.0,0.0,0.0,0.0,0.0,0.0055721393034825865,0.0,0.0,0.10487562189054726,0.0,0.0,0.0,0.012139303482587063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01771144278606965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836066
20-1-29,0.0,5.006,0.0,0.0,0.0,0.0,0.0,0.0,0.00998801438274071,0.29484618457850575,0.0,0.1616060727127447,0.0,0.0,0.3991210547343188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11486216540151817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01937674790251698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
20-1-30,0.0,5.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004399120175964806,0.2965406918616277,0.0,0.16256748650269945,0.0,0.0,0.4015196960607878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11557688462307537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019596080783843232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818182
20-1-32,0.0,5.016,0.0,0.0,0.0,0.0,0.0,0.0,0.04605263157894737,0.0,0.0,0.46790271132376393,0.0,0.0,0.314792663476874,0.0,0.0,0.0,0.0,0.0,0.0,0.05223285486443381,0.0,0.0,0.004186602870813397,0.0,0.0,0.0,0.11503189792663476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
20-1-33,0.0,5.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908112417779549,0.0,0.16862666932429737,0.0,0.0,0.40003986446083317,0.0,0.0,0.0,0.0,0.0,0.0,0.0055810245166434125,0.0,0.0,0.11341439107036076,0.0,0.0,0.0,0.0021925453458241976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01913494119992027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767442
20-1-34,0.0,5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.02937062937062937,0.0,0.0,0.4661338661338662,0.0,0.0,0.31348651348651346,0.0,0.020379620379620378,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0.0,0.004195804195804196,0.0,0.0,0.0,0.11448551448551447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973
20-1-35,0.0,5.028,0.0,0.0,0.0,0.0,0.0,0.0,0.031225139220365954,0.0,0.0,0.4532617342879873,0.0,0.0,0.30489260143198094,0.0,0.04455051710421639,0.0,0.0,0.0,0.0,0.050517104216388234,0.0,0.0,0.004176610978520287,0.0,0.0,0.0,0.11137629276054099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967
