Electrolyte ID,LCE,EC,LiPF6,CsNO3,DEC,LiBOB,FEC,LiTFSI,DMC,VC
21-7-146,0.924812,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285
21-7-147,0.931035,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285
21-7-148,0.868421,0.1386138613861386,0.039603960396039604,0.1386138613861386,0.15841584158415842,0.0495049504950495,0.1782178217821782,0.0297029702970297,0.1683168316831683,0.099009900990099
21-7-149,0.473684,0.23,0.09999999999999999,0.03,0.16999999999999998,0.09999999999999999,0.06999999999999999,0.03,0.19999999999999998,0.06999999999999999
21-7-150,0.9375,0.13,0.03,0.12,0.21,0.08,0.18,0.02,0.13,0.09999999999999999
21-7-151,1.0053,0.19999999999999998,0.04,0.04,0.24,0.04,0.24,0.04,0.08,0.08
21-7-162,0.9375,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285
21-7-163,0.95102,0.2,0.04,0.04,0.24,0.04,0.24,0.04,0.08,0.08
21-7-164,0.936306,0.22999999999999998,0.1,0.03,0.16999999999999998,0.1,0.06999999999999999,0.03,0.2,0.06999999999999999
21-7-165,0.0,0.13,0.03,0.12,0.21000000000000002,0.08,0.18,0.02,0.13,0.1
21-7-173,0.72973,0.19999999999999998,0.04,0.04,0.24,0.04,0.24,0.04,0.08,0.08
