Electrolyte ID,LCE,S1,EC,LiPF6,CsNO3,LiBOB,FEC,LiTFSI,DMC
21-7-13,0.957,0.009907305890561149,0.3127678660420612,0.0063789494667596935,0.029323233330010967,0.05182896441742251,0.02033290142529652,0.11422306388916575,0.4650652845609489
21-7-14,0.9375,0.014875373878364906,0.3128614157527418,0.006181455633100698,0.029302093718843472,0.05184446660019941,0.020338983050847456,0.11425722831505483,0.4652043868394816
21-7-26,,0.009703028521023229,0.307556600999706,0.006272664902479664,0.028844457512496327,0.050965402332647264,0.019994119376653924,0.11927864353621485,0.457316475546408
21-7-27,0.972,0.014622178606476938,0.30794896957801765,0.006771344455348382,0.028783120706575075,0.05093228655544652,0.02001962708537782,0.11295387634936213,0.4578999018645732
21-7-30,0.969916,0.002926877666435162,0.3113404107550352,0.007639646790356186,0.029179482091477325,0.05179085226708999,0.020240103184839764,0.1139994047028475,0.46294275225716836
21-7-31,0.994198,0.005965120887831945,0.31093935790725324,0.006440745144669044,0.02911216805390408,0.05142687277051129,0.020214030915576692,0.11345620293301624,0.46234641300039636
21-7-32,0.997597,0.011841588050314465,0.30837264150943394,0.006878930817610063,0.028950471698113205,0.05129716981132076,0.020047169811320754,0.11409198113207547,0.4585298742138365
21-7-41,0.936306,0.0029470132962889466,0.311371303830125,0.007838856916054774,0.029261758285374084,0.05189521730502084,0.020242111530065488,0.11351458622742608,0.46298868823179207
21-7-49,0.9375,0.003096774193548387,0.31146401985111666,0.008039702233250621,0.028724565756823823,0.052803970223325065,0.020248138957816377,0.11255583126550868,0.4631265508684864
21-7-57,0.966912,0.0031474377889249535,0.30864561817645325,0.008557096488639716,0.028917084685748006,0.052817940395396876,0.020064915904396578,0.11881577653191698,0.4589357725976198
21-7-69,0.99812,0.002926877666435162,0.3113404107550352,0.007639646790356186,0.029179482091477325,0.05179085226708999,0.020240103184839764,0.1139994047028475,0.46294275225716836
21-7-70,0.89011,0.014901960784313726,0.30764705882352944,0.00696078431372549,0.029019607843137254,0.05107843137254903,0.02,0.11294117647058824,0.4574509803921569
21-7-73,,0.0059653179190751445,0.31092760803743463,0.006440957886044592,0.02911312964492155,0.05147261216625379,0.020214698596201487,0.11351500137627304,0.4623726947426369
21-7-74,,0.00596528507963072,0.31094791660932225,0.006440922428172706,0.029112969375340626,0.051467924756813895,0.020214587313034337,0.11348905318440305,0.4623591392285206
21-7-75,,0.011841911303047015,0.3083810594934567,0.006879118599280423,0.028951261990685893,0.05124943356463915,0.02004771706076009,0.11410492293749286,0.45854239120346363
21-7-76,,0.011842105263157895,0.3083642716750382,0.006879231273203757,0.02895173618694038,0.05126665210744704,0.020048045424765234,0.11410788381742738,0.45856082113998686
21-7-104,,0.00277805337831134,0.3113404107550352,0.008036511558686378,0.02907034428018652,0.05198928465125508,0.020240103184839764,0.11360253993451731,0.46294275225716836
21-7-105,,0.0034639746634996045,0.3105700712589074,0.008016627078384799,0.029097387173396674,0.05186064924782265,0.020190023752969122,0.11500395882818686,0.461797307996833
21-7-121,0.9375,0.0036729696639912937,0.3019997279281731,0.007754047068426065,0.043123384573527414,0.04992518024758536,0.0195891715412869,0.11100530540062575,0.4629302135763842
21-7-352,0.767442,0.00277805337831134,0.3113404107550352,0.008036511558686378,0.02907034428018652,0.05198928465125508,0.020240103184839764,0.11360253993451731,0.46294275225716836
