FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,LCE (%),LLCE,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
1.17,0.602,1.943,1.885,0.279,0.261,0.018,0.144,0.108,0.036,0.239,0.239,0,99.5,2.301,Aurbach,0.5,1,10,23
1.089,0.561,1.941,1.738,0.268,0.253,0.015,0.138,0.109,0.029,0.246,0.246,0,99.5,2.301,Aurbach,0.5,1,10,31
1.368,0.474,2.889,2,0.325,0.3,0.025,0.113,0.063,0.05,0.238,0.238,0,99.5,2.301,Aurbach,0.5,1,10,64
1.124,0.597,1.883,1.837,0.271,0.252,0.019,0.144,0.106,0.037,0.241,0.241,0,99.5,2.301,Aurbach,0.5,1,10,44
0.728,0.456,1.596,1.276,0.183,0.168,0.015,0.115,0.084,0.031,0.252,0.252,0,99.5,2.301,Aurbach,0.5,1,10,62
0.898,0.462,1.942,1.457,0.225,0.209,0.016,0.116,0.084,0.032,0.251,0.251,0,99.5,2.301,Aurbach,0.5,1,10,62
0.469,0.735,0.639,1.438,0.101,0,0.101,0.159,0.091,0.068,0.216,0.182,0.034,92.8,1.143,Aurbach,1,1,12,41
0.26,0.697,0.373,1.086,0.057,0,0.057,0.153,0.105,0.048,0.219,0.21,0.009,93.9,1.215,Aurbach,1,1,12,41
0.218,0.71,0.308,1.037,0.047,0,0.047,0.153,0.107,0.046,0.216,0.215,0.001,94.3,1.244,Aurbach,1,1,12,41
0.345,0.691,0.499,1.208,0.076,0,0.076,0.153,0.099,0.054,0.221,0.198,0.023,94.9,1.292,Aurbach,1,1,12,41
0.014,0.842,0.017,0.876,0.004,0.004,0,0.249,0.225,0.024,0.296,0.296,0,80,0.699,Cycle,0.5,0.083,30,2
0.044,0.588,0.075,0.698,0.011,0,0.011,0.15,0.128,0.022,0.255,0.255,0,94,1.222,Cycle,0.1,0.2,30,42
0.551,0.603,0.915,1.232,0.142,0.129,0.013,0.155,0.129,0.027,0.258,0.258,0,95,1.301,Cycle,0.1,0.2,30,42
0.142,0.714,0.199,0.879,0.038,0,0.038,0.192,0.192,0,0.269,0.269,0,83.7,0.788,Cycle,1,1,40,10
